recover_ratio,constructed_adp,orthogonal_scale,mean_accuracy,std_accuracy,num_runs,mean_measured_adp,std_measured_adp,mean_distance_to_victim,std_distance_to_victim,metric_key
0.01,0.0,0.0,0.835048395313296,0.0,1,0.0,0.0,6.484203301201224,0.0,eval_accuracy
0.01,0.0,0.25,0.8346510443199184,0.0004634361860639384,10,-8.331298191295347e-12,7.854696446431028e-11,7.572733004621421,4.566428914399732e-08,eval_accuracy
0.01,0.0,0.5,0.8346408558329088,0.0005635992536297236,10,7.840594728448654e-12,4.349875917778373e-11,10.16122351691418,1.3454912865702838e-07,eval_accuracy
0.01,0.0,0.75,0.8344880285277636,0.0007265327146615289,10,1.7200211864287626e-11,6.017896217536436e-11,13.40736486172553,2.532691729824465e-07,eval_accuracy
0.01,0.0,1.0,0.8343555781966379,0.0007330048190974941,10,-3.242949938206338e-11,7.607489740477297e-11,16.937153710545672,2.9915306780563017e-07,eval_accuracy
0.01,0.25,0.0,0.8276107997962303,0.0,1,0.2500000000403039,0.0,7.572733079641465,0.0,eval_accuracy
0.01,0.25,0.25,0.8276821192052981,0.00046700628166544033,10,0.25000000003481704,7.895372913735224e-11,8.523360787185007,4.403392542561705e-08,eval_accuracy
0.01,0.25,0.5,0.8274070300560366,0.0008035351667093334,10,0.2500000000407283,3.55557576957024e-11,10.888152145920948,1.3637984050281738e-07,eval_accuracy
0.01,0.25,0.75,0.8271625063678043,0.000578505127522306,10,0.25000000005458484,5.1296009432961296e-11,13.96634621718477,2.2919120042317172e-07,eval_accuracy
0.01,0.25,1.0,0.8269077941925623,0.000651505747478287,10,0.24999999999789485,9.844107127619635e-11,17.382996596062092,3.1064819952264053e-07,eval_accuracy
0.01,0.5,0.0,0.8002037697401936,0.0,1,0.5000000001466286,0.0,10.1612237748668,0.0,eval_accuracy
0.01,0.5,0.25,0.8007743250127357,0.0004673395798748624,10,0.5000000001426175,6.798823171955376e-11,10.888152315896917,3.847498001054326e-08,eval_accuracy
0.01,0.5,0.5,0.8009169638308713,0.0006297111417366225,10,0.5000000001452506,3.661071961853912e-11,12.82404145087693,1.1622054512224138e-07,eval_accuracy
0.01,0.5,0.75,0.8000611309220581,0.0009194509768866819,10,0.5000000001626403,5.123006264452724e-11,15.522983210236637,1.8171514094579123e-07,eval_accuracy
0.01,0.5,1.0,0.799714722363729,0.0007993905347298206,10,0.5000000001179721,9.216136337642675e-11,18.65670795925298,2.973948082213482e-07,eval_accuracy
0.01,0.75,0.0,0.7399898115129904,0.0,1,0.7500000000980329,0.0,13.40736499087208,0.0,eval_accuracy
0.01,0.75,0.25,0.7399388690779418,0.0009995627544752304,10,0.750000000080996,7.746670338742622e-11,13.966346348630967,5.136195625547761e-08,eval_accuracy
0.01,0.75,0.5,0.739429444727458,0.0007627768511154435,10,0.7500000001014528,4.305431635902313e-11,15.522983242490678,9.207518767135028e-08,eval_accuracy
0.01,0.75,0.75,0.7386143657666835,0.0006284735817948649,10,0.7500000001222652,4.8790533179032275e-11,17.81768719075638,1.737200405880554e-07,eval_accuracy
0.01,0.75,1.0,0.7380438104941416,0.001094918734378655,10,0.75000000006835,8.082506876624095e-11,20.605332372063856,2.701113185062747e-07,eval_accuracy
0.01,1.0,0.0,0.5614875191034131,0.0,1,1.0,0.0,16.937154313026774,0.0,eval_accuracy
0.01,1.0,0.25,0.5618746816097809,0.0010328131144146115,10,0.999999999990211,7.470135671569097e-11,17.38299705930716,5.409525495788077e-08,eval_accuracy
0.01,1.0,0.5,0.561619969434539,0.0020239218519123876,10,0.9999999999960683,4.21741823925102e-11,18.656708303973023,8.673248157186615e-08,eval_accuracy
0.01,1.0,0.75,0.5612633723892002,0.003142879895676129,10,1.0000000000275595,5.1395001489348814e-11,20.605332675795317,1.5488028671516133e-07,eval_accuracy
0.01,1.0,1.0,0.5599592460519613,0.004129040704790949,10,0.9999999999687974,8.620351681693351e-11,23.058392820046514,2.3932501646201945e-07,eval_accuracy
